No,種名(和名),学名,都道府県名,地域名,市町村名,サイト名,緯度経度,年,個体数,巣の数,その他,カウント方法,著者名(確認者名),発表年,文献番号,公開条件,情報提供連絡先,備考
1,マミジロアジサシ,Sterna anaethetus,沖縄県,宮古諸島,,宮古島属島軍艦島(地図で見つからず),,1981,100-150,,,,Hasegawa,1984,6,,,
2,マミジロアジサシ,Sterna anaethetus,沖縄県,宮古諸島,,宮古島属島フデ岩,,1981,60±,,,,Hasegawa,1984,6,,,
3,マミジロアジサシ,Sterna anaethetus,沖縄県,八重山諸島,八重山郡竹富町,仲ノ神島,北緯24度12分、東経123度34分,1981,1100±,,,,Hasegawa,1984,6,,,
4,エリグロアジサシ,Sterna sumatrana,沖縄県,宮古諸島,,宮古島属島軍艦島(地図で見つからず),,1981,50±,,,,Hasegawa,1984,6,,,
5,エリグロアジサシ,Sterna sumatrana,沖縄県,宮古諸島,,宮古島属島筆岩(地図で見つからず),,,,,繁殖,,Hasegawa,1984,6,,,
6,クロアジサシ,Anous stolidus,沖縄県,宮古諸島,,宮古島属島軍艦島(地図で見つからず),,1981,100±,,,,Hasegawa,1984,6,,,
7,ケイマフリ,Cepphus carbo,北海道,,室蘭市,室蘭市,北緯42度19分、東経140度59分,1953,,,地球岬周辺の海食崖 繁殖個体あり,,岡・小城,1996,14,,,
8,ケイマフリ,Cepphus carbo,北海道,,亀田郡椴法華村,恵山岬,北緯41度48分、東経141度11分,1953,,,繁殖,,岡・小城,1996,14,,,周辺の海食崖
9,エリグロアジサシ,Sterna sumatrana,沖縄県,,,屋我地島,,1978,,>6,,,環境庁,1978,148,,,
10,エリグロアジサシ,Sterna sumatrana,沖縄県,八重山諸島,,石垣島玉取崎,北緯24度29分、東経124度17分,1978,,15±,,,環境庁,1978,148,,,
11,ベニアジサシ,Sterna dougallii,沖縄県,琉球諸島,,屋我地島,,1979,,417,,,Hasegawa,1984,6,,,
12,ベニアジサシ,Sterna dougallii,沖縄県,八重山諸島,,石垣島玉取崎,北緯24度29分、東経124度17分,1978,,282,,,Hasegawa,1984,6,,,
13,クロコシジロウミツバメ,Oceanodroma castro,岩手県,,宮古市,日出島,北緯39度38分、東経141度57分,,"25,000",,,,佐藤,1997,24,,,
14,ウミウ,Phalacrocorax capillatus,北海道,,苫前郡羽幌町,焼尻島,北緯44度26分、東経141度24分,,,,繁殖,,Hasegawa,1984,6,,,
15,ウミスズメ,Synthliboramphus antiquus,北海道,,根室市,歯舞 ハボマイモシリ島,北緯43度20分、東経145度46分,1987,213,,繁殖,,佐藤文雄,私信,16,,,
16,オオセグロカモメ,Larus schistisagus,北海道,,根室市,友知 友知島,北緯43度17分、東経145度40分,1986,,,繁殖,,佐藤文雄,私信,16,,,
17,ウミウ,Phalacrocorax capillatus,北海道,,厚岸郡厚岸町,大黒島,北緯42度57分、東経144度52分,1951,100±,,繁殖,,Fenell,1953,65,,,
18,ケイマフリ,Cepphus carbo,北海道,,厚岸郡厚岸町,大黒島,北緯42度57分、東経144度52分,1951,,,"アイカップ,バサラン岬島でも合計46羽の繁殖鳥を観察",,Fennell,1953,65,,,
19,ウミウ,Phalacrocorax capillatus,北海道,,厚岸郡厚岸町,大黒島,北緯42度57分、東経144度52分,1951,100,,繁殖,,Fennell,1953,65,,,
20,オオセグロカモメ,Larus schistisagus,北海道,,厚岸郡厚岸町,大黒島,北緯42度57分、東経144度52分,1951,>500,,観察,,Fennell,1953,65,,,
21,ケイマフリ,Cepphus carbo,北海道,,厚岸郡厚岸町,大黒島,北緯42度57分、東経144度52分,1951,168,,,目視,Fennell,1953,65,,,
22,ウミネコ,Larus crassirostris,北海道,,利尻郡利尻町、利尻富士町,利尻島,北緯45度10分、東経141度13分,1988,,,>1000番、繁殖,,藤巻裕蔵,私信,16,,,
23,クロアシアホウドリ,Phoebastria nigripes,東京都,伊豆諸島,八丈町,鳥島,北緯30度29分、東経140度17分,1964,,,20雛,,Hasegawa,1984,6,,,
24,ウミウ,Phalacrocorax capillatus,北海道,,斜里郡斜里町、目梨郡羅臼町,知床半島,,1986,,,524番、繁殖,A,綿貫ら,1988,16,,,
25,ウミウ,Phalacrocorax capillatus,北海道,,斜里郡斜里町、目梨郡羅臼町,知床半島,,1987,,,508番、繁殖,A,綿貫ら,1988,16,,,
26,ウトウ,Cerorhinca monocerata,北海道,,斜里郡斜里町、目梨郡羅臼町,知床半島,,1985,>50,,繁殖?,,綿貫ら,1988,16,,,
27,クロアシアホウドリ,Phoebastria nigripes,東京都,伊豆諸島,八丈町,鳥島,北緯30度29分、東経140度17分,1977,,,126雛,,Hasegawa,1984,6,,,
