文献番号,著者,発行年,雑誌・単行本・新聞・報告書名等,巻号,文献タイプ
1,岡 奈理子,1995,日本の希少な野生水生生物に関する基礎資料(II),,報告書
2,治田則男・丸山直樹・岡 奈理子・黒田長久,1987,山階鳥類研究所研究報告,19,"学術	論文"
3,千葉勇人,1995,日本の希少な野生水生生物に関する基礎資料(II),,報告書
4,福田道雄,1995,日本の希少な野生水生生物に関する基礎資料(II),,報告書
5,御廚正治,1964,野鳥,29,機関紙
6,Hasegawa H,1984,ICBP Technical Publication,2,その他
7,福田道雄,1995,日本の希少な野生水生生物に関する基礎資料(II),,報告書
8,倉田 篤,1971,吉野熊野国立公園拡張区域(予定地)学術調査報告書,,報告書
9,武石全慈,1987,北九州市立自然史博物館研究報告,7,学術論文
10,小野宏治,1996,日本の希少な野生水生生物に関する基礎資料(III),,報告書
11,長谷川 博,1993,滅びゆく日本の動物50種,,単行本
12,長谷川 博,1987,野鳥,491,機関紙
13,河野裕美,1996,日本の希少な野生水生生物に関する基礎資料(III),,報告書
14,岡 奈理子・小城春雄,1996,日本の希少な野生水生生物に関する基礎資料(III),,報告書
15,小城春雄,1996,日本の希少な野生水生生物に関する基礎資料(III),,報告書
16,綿貫 豊・近藤憲久・中川 元,1988,日本鳥学会誌,37,"学術	論文"
17,安曇惣四郎,1937,鳥獣彙報,11,学術論文
18,三重県農林水産部林業事務所,1973,三重県の鳥獣目録,,報告書
19,環境庁,1975,特定鳥類等調査,,報告書
20,北九州野鳥の会研究部,1978,北九州野鳥の会研究部報告書,,報告書
21,倉田 篤,1970,三重生物,20,機関紙
22,寺沢孝毅,1995,日本の希少な野生水生生物に関する基礎資料(II),,報告書
23,小城春雄,1995,日本の希少な野生水生生物に関する基礎資料(II),,報告書
24,佐藤文男,1997,日本の希少な野生水生生物に関する基礎資料(IV),,報告書
25,茂田良光,1997,日本の希少な野生水生生物に関する基礎資料(IV),,報告書
26,和田 岳,2009,大阪鳥類研究グループ会報,74,機関紙
27,近藤憲久,1992,根室市博物館開設準備室紀要,6,学術論文
